'ID_CLIENTE';'NOME_ALTERNATIVO';'END_CIDADE';'END_UF';'STATUS'
0;'VIDY';'Taboão da Serra';'SP';'A'
2;'3M/SUMARE';'Sumare';'SP';'A'
4;'ZAZ2N_ENGENHARIA';'SAO PAULO';'SP';'A'
6;'ACHE_LABORATORIOS';'Guarulhos';'SP';'A'
7;'ASS_CULT_SRA_MENINA';'Macapa';'AP';'C'
8;'ADIBOARD';'JUNDIAI';'SP';'C'
10;'ASS_ESC_GRADUADA_SP';'SAO PAULO';'SP';'A'
11;'AGESPISA_AGUA_ESG_PI';'Teresina';'PI';'A'
12;'AGFA_GEVAERT_SUZANO';'Suzano';'SP';'A'
13;'AGROQUISA';'Bauru';'SP';'C'
16;'AKZO/RAPOSO';'Sao Paulo';'SP';'C'
17;'AKZO_NOBEL_SBC';'Sao Bernardo do Campo';'SP';'A'
18;'ALBA_BOITUVA';'BOITUVA';'SP';'C'
19;'ALBRAS METALURGICA';'Embu das Artes';'SP';'A'
20;'ALCAN_ALUM_MAUA_SP';'Maua';'SP';'A'
21;'ALCON/NOVARTIS_BIOCIENCIAS';'SAO PAULO';'SP';'A'
22;'JOSE_FIGUEIREDO';'CAMPINAS';'SP';'C'
23;'ALLERGAN_GUARULHOS';'GUARULHOS';'SP';'A'
24;'ALLERGAN_SAO_PAULO';'SAO PAULO';'SP';'C'
25;'ALLKIMIA_COM_MAT_LAB';'Campinas';'SP';'A'
26;'ALLPAC';'SAO PAULO';'SP';'A'
27;'SANTISTA_TATUI';'TATUI';'SP';'C'
28;'ALPAX_COM_PROD_LAB';'DIADEMA';'SP';'A'
29;'ALQUILABOR_COMERCIAL';'SAO JOSE DOS CAMPOS';'SP';'A'
30;'AMPRO_LAB_ENG';'LORENA';'SP';'A'
31;'ANIDROL_PROD_LAB';'Diadema';'SP';'A'
32;'AMBEVPOLAR_RS';'Porto Alegre';'RS';'C'
33;'AMBEV_BA';'CAMACARI';'BA';'C'
34;'AMBEV_CE';'Aquiraz';'CE';'C'
35;'AMBEV_GO';'Goiania';'GO';'C'
36;'AMBEV_JAGUARIUNA';'Jaguariuna';'SP';'A'
37;'ANTARCTICA/MANAUS';'MANAUS';'AM';'C'
38;'ANTARCTICA/RJ';'PETROPOLIS';'RJ';'C'
39;'ANTARCTICA/SP1';'SAO PAULO';'SP';'C'
40;'ANTARCTICA/SP2';'SAO PAULO';'SP';'C'
41;'ANTARCTICA/SP3';'SAO PAULO';'SP';'C'
43;'ARILAB_MAT_LAB';'PAULINIA';'SP';'C'
44;'ARISCO/GOIAS';'GOIANIA';'GO';'C'
45;'ART_LAB_REAG_EQ_LAB';'CAMPINAS';'SP';'C'
46;'ARTLAB_VIDROS_LAB_BA';'SALVADOR';'BA';'A'
47;'FRESENIUS_ITAP_DA_SERRA';'Itapecerica da Serra';'SP';'A'
48;'ASTRA/SAO PAULO';'SAO PAULO';'SP';'C'
49;'ATA ASSESSORIA';'Sao Paulo';'SP';'A'
50;'AVON_IND';'SAO PAULO';'SP';'A'
51;'AZ_LABOR_ANTONIO_ZAMPOLA';'Ribeirao Preto';'SP';'A'
53;'BACULERE_AGRO_INDL';'OLIMPIA';'SP';'C'
54;'BANN_QUIM_PAULINIA';'PAULINIA';'SP';'A'
55;'BASF/GUARATINGUETA';'GUARATINGUETA';'SP';'A'
56;'BASF/SBC3';'Sao Bernardo do Campo';'SP';'A'
59;'BAYER_RJ';'Belford Roxo';'RJ';'A'
62;'BELTRAME';'SAO JOSE DOS CAMPOS';'SP';'C'
63;'BIC_BRASIL_S/A';'CABREUVA';'SP';'C'
64;'BIDIM';'SAO JOSE DOS CAMPOS';'SP';'C'
65;'BIO_CIENCIA_BRASILIA';'Brasilia';'DF';'A'
66;'BIOAGRI_LABORATORIOS';'Piracicaba';'SP';'A'
68;'FUND_BIOMINAS';'Belo Horizonte';'MG';'A'
69;'BLANVER_FARMOQUIMICA_ITAPEVI';'Itapevi';'SP';'A'
70;'BOA HORA';'MAUA';'SP';'A'
72;'BOMBRIL/SBC';'Sao Bernardo do Campo';'SP';'A'
73;'BORLEM';'GUARULHOS';'SP';'C'
75;'INSTITUTO_BOTANICA_SECRETARIA';'Sao Paulo';'SP';'A'
76;'JOSE_AMERICO_BOTTINO';'SAO PAULO';'SP';'C'
77;'BRACOL/LINS';'LINS';'SP';'A'
78;'BRACOL/AGUAI';'Aguaí';'SP';'A'
79;'BRAHMA/LAGES';'LAGES';'SC';'C'
81;'WAELZHOLZ-BRASMETAL';'DIADEMA';'SP';'A'
82;'BVP_QUIMICA';'Sao Paulo';'SP';'A'
83;'CAAA';'SAO PAULO';'SP';'C'
84;'CACIEN';'SAO PAULO';'SP';'C'
85;'CAI';'SAO PAULO';'SP';'C'
86;'CANOPUS';'Diadema';'SP';'C'
87;'CARGILL CACAU';'Ilheus';'BA';'A'
89;'CARVALHAES_LAB/RS';'Alvorada';'RS';'A'
90;'CASA_LABORATORIO';'SALVADOR';'BA';'C'
91;'CAZI_QUIMICA_FARMACEUTICA';'JANDIRA';'SP';'A'
93;'CEIL';'SAO PAULO';'SP';'C'
94;'CELMA';'PETROPOLIS';'RJ';'A'
95;'CELPAV/PIRACICABA';'PIRACICABA';'SP';'C'
96;'CEM/A EINSTEIN';'SAO PAULO';'SP';'C'
97;'CEMAN';'CAMAÇARI';'BA';'C'
98;'CEMSA';'CUBATAO';'SP';'C'
99;'CENIBRA/MG2';'BELO HORIZONTE';'MG';'C'
100;'CENTER';'Rio de Janeiro';'RJ';'C'
101;'CEPLAC/ITABUNA';'ITABUNA';'BA';'C'
102;'CERESER';'JUNDIAI';'SP';'A'
103;'CENT_ELETRICA_SC_CESC';'Palhoca';'SC';'A'
105;'CETREL_TRAT_EFLUENTE';'Camacari';'BA';'A'
108;'CHEMYUNION_SOROCABA';'SOROCABA';'SP';'A'
109;'CIBA/ T DA SERRA';'TABOAO DA SERRA';'SP';'C'
110;'CIBA/RIO JANEIRO';'RIO DE JANEIRO';'RJ';'C'
111;'CIENGE';'CAMPINAS';'SP';'A'
112;'CIMESA';'LARANJEIRAS';'SE';'C'
113;'CIMIC CONSTRUTORA';'SALVADOR';'BA';'C'
114;'CIQUINE/SP';'ARUJA';'SP';'C'
115;'FISCHER';'MATAO';'SP';'A'
118;'CLIMAPRESS_AR_COND';'SAO PAULO';'SP';'C'
120;'PARANA_CITRUS';'PARANAVAI';'PR';'C'
121;'COFAP';'SANTO ANDRE';'SP';'C'
122;'COLEGIO AUGUSTO LARANJA';'SAO PAULO';'SP';'A'
123;'COLEGIO BENJAMIN CONSTANT';'SAO PAULO';'SP';'A'
124;'COL MORUMBI';'Sao Paulo';'SP';'A'
125;'FUND_PORTO_SEGURO';'Sao Paulo';'SP';'A'
126;'COMERCIAL LIMA';'RIBEIRAO PRETO';'SP';'C'
127;'COMTEC CENTER';'SAO PAULO';'SP';'C'
128;'CONCREBRAS';'SAO PAULO';'SP';'C'
